2026-04-17 11:29:02,722 - ALERT - IP: 192.168.1.16 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:03,784 - ALERT - IP: 192.168.1.150 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:04,818 - ALERT - IP: 192.168.1.92 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:05,862 - ALERT - IP: 192.168.1.159 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:06,895 - ALERT - IP: 192.168.1.80 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:07,931 - ALERT - IP: 192.168.1.252 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:08,967 - ALERT - IP: 192.168.1.236 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:10,033 - ALERT - IP: 192.168.1.100 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:11,071 - ALERT - IP: 192.168.1.206 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:12,109 - ALERT - IP: 192.168.1.137 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:13,146 - ALERT - IP: 192.168.1.15 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:14,182 - ALERT - IP: 192.168.1.60 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:15,218 - ALERT - IP: 192.168.1.191 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:16,254 - ALERT - IP: 192.168.1.133 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:17,291 - ALERT - IP: 192.168.1.68 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:18,325 - ALERT - IP: 192.168.1.232 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:19,362 - ALERT - IP: 192.168.1.112 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:20,397 - ALERT - IP: 192.168.1.8 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:21,435 - ALERT - IP: 192.168.1.157 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:22,471 - ALERT - IP: 192.168.1.197 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:23,508 - ALERT - IP: 192.168.1.11 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:24,541 - ALERT - IP: 192.168.1.156 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:25,577 - ALERT - IP: 192.168.1.173 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:26,613 - ALERT - IP: 192.168.1.164 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:27,651 - ALERT - IP: 192.168.1.148 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:28,685 - ALERT - IP: 192.168.1.143 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:29,721 - ALERT - IP: 192.168.1.228 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:30,764 - ALERT - IP: 192.168.1.156 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:31,797 - ALERT - IP: 192.168.1.244 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:32,834 - ALERT - IP: 192.168.1.21 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:33,868 - ALERT - IP: 192.168.1.152 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:34,905 - ALERT - IP: 192.168.1.66 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:35,949 - ALERT - IP: 192.168.1.216 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:36,992 - ALERT - IP: 192.168.1.107 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:38,042 - ALERT - IP: 192.168.1.188 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:39,090 - ALERT - IP: 192.168.1.170 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:40,132 - ALERT - IP: 192.168.1.53 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:41,169 - ALERT - IP: 192.168.1.190 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:42,216 - ALERT - IP: 192.168.1.253 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:43,251 - ALERT - IP: 192.168.1.230 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:44,304 - ALERT - IP: 192.168.1.193 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:45,344 - ALERT - IP: 192.168.1.166 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:46,386 - ALERT - IP: 192.168.1.184 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:47,425 - ALERT - IP: 192.168.1.181 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:48,464 - ALERT - IP: 192.168.1.90 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:49,501 - ALERT - IP: 192.168.1.32 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:50,537 - ALERT - IP: 192.168.1.194 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:51,574 - ALERT - IP: 192.168.1.15 | Attack: Web Attack | MITRE: Initial Access(T1190) | Action: Block request
2026-04-17 11:29:52,608 - ALERT - IP: 192.168.1.213 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:53,646 - ALERT - IP: 192.168.1.129 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:54,687 - ALERT - IP: 192.168.1.107 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:29:55,725 - ALERT - IP: 192.168.1.34 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:56,760 - ALERT - IP: 192.168.1.177 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:29:57,798 - ALERT - IP: 192.168.1.131 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:29:58,834 - ALERT - IP: 192.168.1.165 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:29:59,870 - ALERT - IP: 192.168.1.183 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:00,904 - ALERT - IP: 192.168.1.30 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:01,941 - ALERT - IP: 192.168.1.99 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:02,977 - ALERT - IP: 192.168.1.76 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:04,014 - ALERT - IP: 192.168.1.175 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:05,048 - ALERT - IP: 192.168.1.120 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:06,087 - ALERT - IP: 192.168.1.104 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:07,123 - ALERT - IP: 192.168.1.66 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:08,159 - ALERT - IP: 192.168.1.146 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:09,192 - ALERT - IP: 192.168.1.240 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:10,229 - ALERT - IP: 192.168.1.101 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:11,270 - ALERT - IP: 192.168.1.103 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:12,307 - ALERT - IP: 192.168.1.27 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:13,343 - ALERT - IP: 192.168.1.39 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:14,386 - ALERT - IP: 192.168.1.24 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:15,426 - ALERT - IP: 192.168.1.186 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:16,471 - ALERT - IP: 192.168.1.113 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:17,507 - ALERT - IP: 192.168.1.194 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:18,547 - ALERT - IP: 192.168.1.179 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:19,583 - ALERT - IP: 192.168.1.16 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:20,626 - ALERT - IP: 192.168.1.218 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:21,664 - ALERT - IP: 192.168.1.197 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:22,703 - ALERT - IP: 192.168.1.52 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:23,741 - ALERT - IP: 192.168.1.145 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:24,776 - ALERT - IP: 192.168.1.247 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:25,814 - ALERT - IP: 192.168.1.133 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:26,849 - ALERT - IP: 192.168.1.123 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:27,899 - ALERT - IP: 192.168.1.249 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:28,946 - ALERT - IP: 192.168.1.183 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:29,984 - ALERT - IP: 192.168.1.159 | Attack: Port Scan | MITRE: Reconnaissance(T1046) | Action: Close port
2026-04-17 11:30:31,020 - ALERT - IP: 192.168.1.134 | Attack: Brute Force | MITRE: Credential Access(T1110) | Action: Block IP
2026-04-17 11:30:32,055 - ALERT - IP: 192.168.1.162 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 11:30:33,091 - ALERT - IP: 192.168.1.108 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:34,132 - ALERT - IP: 192.168.1.241 | Attack: Normal | MITRE: None(None) | Action: Allow
2026-04-17 11:30:35,170 - ALERT - IP: 192.168.1.213 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
